,avg_peak_memory_usage
0,0.112152099609375
3,0.1367009480794271
6,0.13122177124023438
9,0.16015116373697916
12,0.11840057373046875
15,0.1710027058919271
18,0.22575251261393228
21,0.2564989725748698
24,0.16207122802734375
27,0.23291397094726562
30,0.3122444152832031
33,0.4000345865885417
36,0.1485112508138021
39,0.27276865641276044
42,0.35575230916341144
45,0.48691685994466144
48,0.13395309448242188
51,0.1528447469075521
54,0.18555323282877603
57,0.2571309407552083
60,0.14747746785481772
63,0.2825469970703125
66,0.3752797444661458
69,0.4907875061035156
72,0.22249730428059897
75,0.37983957926432294
78,0.5456352233886719
81,0.7036323547363281
84,0.28931935628255206
87,0.47387949625651044
90,0.6945063273111979
93,0.899529774983724
95,0.15071996053059897
98,0.2183074951171875
101,0.30116907755533856
104,0.3707415262858073
107,0.24139022827148438
110,0.40198008219401044
113,0.5482444763183594
116,0.7055676778157552
119,0.3272056579589844
122,0.5427894592285156
125,0.7653325398763021
128,1.0072123209635417
130,0.39786402384440106
133,0.6971460978190104
136,0.996130625406901
138,1.3114814758300781
140,0.16159947713216147
143,0.23280207316080728
146,0.37597020467122394
149,0.46867624918619794
152,0.27215830485026044
155,0.4843037923177083
158,0.673675537109375
161,0.902740478515625
163,0.39025624593098956
166,0.6919123331705729
169,1.0052477518717449
171,1.325775146484375
173,0.47518157958984375
176,0.8858591715494791
178,1.3042971293131511
180,1.7436192830403645
