volume,peak_memory_usage_avg,peak_memory_usage_std_dev,peak_memory_usage_min,peak_memory_usage_max,execution_time_avg,execution_time_std_dev,execution_time_min,execution_time_max,n_samples,peak_memory_usage_cv,execution_time_cv,peak_memory_usage_unit,execution_time_unit
1000000,0.1042798360188802,1.3396776520858057e-05,0.10426712036132812,0.1042938232421875,0.024268070856730144,0.0010311484841488542,0.023274898529052734,0.025333404541015625,3,0.00012846948204284217,0.04248992391016078,gb,s
2000000,0.11178334554036458,2.0364910606443917e-05,0.11175155639648438,0.11181640625,0.04350052939520942,0.007899662242121316,0.03320789337158203,0.05895709991455078,9,0.00018218197449717784,0.18159922078997232,gb,s
3000000,0.11915079752604167,2.3046581217945262e-05,0.11910247802734375,0.11918258666992188,0.06731483671400282,0.010849025639087488,0.05707740783691406,0.08878326416015625,9,0.00019342364211123462,0.1611684164841876,gb,s
4000000,0.12666956583658853,1.2063131943389506e-05,0.12664794921875,0.1266937255859375,0.08810954623752171,0.014701976560199396,0.06925654411315918,0.12222123146057129,18,9.523307247260705e-05,0.16686020060262796,gb,s
6000000,0.14155684577094185,2.2541698051155212e-05,0.14149856567382812,0.14159011840820312,0.1228134102291531,0.015668379429214743,0.1025686264038086,0.15570950508117676,18,0.00015924131346943638,0.1275787342764905,gb,s
8000000,0.15646017165411086,1.906985293703846e-05,0.15642929077148438,0.15650558471679688,0.16205202965509324,0.0182529859108147,0.1356182098388672,0.20143866539001465,21,0.00012188311399271953,0.11263657696644601,gb,s
9000000,0.16384251912434897,2.615224685821855e-05,0.16380691528320312,0.16389083862304688,0.18281629350450304,0.025063360230557483,0.15602684020996094,0.2348790168762207,9,0.00015961819311609943,0.13709587778039126,gb,s
12000000,0.18625386555989584,1.770383761948365e-05,0.18621826171875,0.18628311157226562,0.2392917650717276,0.025401261446181867,0.20465707778930664,0.3128235340118408,27,9.505218893720313e-05,0.10615184119924832,gb,s
16000000,0.21605300903320312,2.270041845621138e-05,0.21600723266601562,0.216094970703125,0.3056002722846137,0.03048040904208687,0.2709770202636719,0.37948083877563477,18,0.00010506874473904119,0.09973946951755215,gb,s
18000000,0.23095236884223092,1.9336581326477525e-05,0.23091506958007812,0.23097610473632812,0.342604398727417,0.01857007383504944,0.32254648208618164,0.37340664863586426,9,8.372540807185574e-05,0.05420267195642215,gb,s
24000000,0.27564557393391925,1.8376344380737494e-05,0.2756156921386719,0.2756843566894531,0.4545258151160346,0.030095643338543865,0.41129016876220703,0.5140302181243896,18,6.666656793532579e-05,0.06621327620491882,gb,s
27000000,0.2980308532714844,2.1239335490532003e-05,0.29801177978515625,0.2980537414550781,0.5120522975921631,0.019284149995735245,0.4929463863372803,0.5315098762512207,3,7.126555944590246e-05,0.03766050867541384,gb,s
32000000,0.3352216084798177,2.60127672137984e-05,0.33516693115234375,0.3352508544921875,0.6176071961720785,0.03784100630737823,0.5745468139648438,0.6797153949737549,9,7.75987184470673e-05,0.0612703455236861,gb,s
36000000,0.3650169372558594,1.972976767118011e-05,0.3649940490722656,0.3650550842285156,0.660059928894043,0.027072677353173463,0.6336166858673096,0.7108502388000488,9,5.405164982070541e-05,0.04101548384937535,gb,s
48000000,0.45439783732096356,2.1324805998799713e-05,0.4543647766113281,0.4544410705566406,0.880032910241021,0.030388749303189244,0.8497319221496582,0.9239552021026611,9,4.692981402492229e-05,0.03453137825819089,gb,s
64000000,0.5736986796061198,8.809665972750105e-06,0.5736885070800781,0.5737037658691406,1.1774829228719075,0.03295113228026932,1.1582226753234863,1.2155306339263916,3,1.5355911188079593e-05,0.027984382312654495,gb,s
